No.,입고일,거래처,거래처명,품목군,품목코드,품목정보,구분,입고구분,매입구분,화폐,입고량,단가,금액,환율,환산금액,정산구분,정산수량,입고창고,입고전표번호,접수번호,DO번호,비고,사업장,최종수정자,최종수정일시,등록프로그램
914.0,20240131.0,1027.0,태령기업,TAB S9 FE ,PNO-A509-03,TAB S9 FE KNOB 도장 ◈ (UT 3COAT) ◈ (LIGHT GREEN),정상,외주가공,국내,KRW,5000,130.0,650000,1.0,650000,정산완료,5000.0,제품창고,O1202401310031,PA202401300034,DO202401300038,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
915.0,20240131.0,1027.0,태령기업,TAB S9 FE ,PNO-A509-04,TAB S9 FE  KNOB 도장 ◈ (UT 3COAT) ◈ (LIGHT PINK ),정상,외주가공,국내,KRW,52,130.0,6760,1.0,6760,정산완료,52.0,제품창고,O1202401310090,PA202401310048,DO202402010076,,㈜삼광,김태완,20240201160138.0,수입검사등록확인
916.0,20240131.0,1027.0,태령기업,TAB S9 FE ,PNO-A509-04,TAB S9 FE  KNOB 도장 ◈ (UT 3COAT) ◈ (LIGHT PINK ),정상,외주가공,국내,KRW,5000,130.0,650000,1.0,650000,정산완료,5000.0,제품창고,O1202401310032,PA202401310040,DO202401310045,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
917.0,20240131.0,3033.0,(주)삼원테크,E3,MCP-A322-00-N1,E3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (Dark Gray),정상,외주가공,국내,KRW,60480,15.0,907200,1.0,907200,정산완료,60480.0,경유창고,O1202401310008,PA202401310005,DO202401310010,삼광윈테크 직납,㈜삼광,품질공용,20240131161552.0,수입검사등록확인
918.0,20240131.0,3033.0,(주)삼원테크,TAB S9 FE,PCB-B683-02-Z,TAB S9 FE REAR BODY 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,20000,37.0,740000,1.0,740000,정산완료,20000.0,경유창고,O1202401310009,PA202401310006,DO202401310008,태령직납,㈜삼광,품질공용,20240131161553.0,수입검사등록확인
919.0,20240131.0,3033.0,(주)삼원테크,TAB S9 FE,PNO-A509-02-Z,TAB S9 FE KNOB 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,20000,65.0,1300000,1.0,1300000,정산완료,20000.0,경유창고,O1202401310010,PA202401310007,DO202401310009,태령직납,㈜삼광,품질공용,20240131161553.0,수입검사등록확인
920.0,20240131.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00,E3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (Dark Gray),정상,외주가공,국내,KRW,40000,397.0,15880000,1.0,15880000,정산완료,40000.0,제품창고,O1202401310056,PA202401310033,DO202401310036,,㈜삼광,김태완,20240131170217.0,수입검사등록확인
921.0,20240131.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00,E3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (Dark Gray),정상,외주가공,국내,KRW,40000,397.0,15880000,1.0,15880000,정산완료,40000.0,제품창고,O1202401310057,PA202401310001,DO202401310001,선별품,㈜삼광,김태완,20240131170218.0,수입검사등록확인
922.0,20240131.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00-N2,E3 DECO CNC #2 ◈ (전면 형상가공 ) ◈ (Dark Gray),정상,외주가공,국내,KRW,80313,174.0,13974462,1.0,13974462,정산완료,80313.0,경유창고,O1202401310052,PA202401310016,DO202401310022,신진 #2차<알루코>,㈜삼광,김태완,20240131165408.0,수입검사등록확인
923.0,20240131.0,3088.0,(주)삼광윈테크,E3,MCP-A322-01,E3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (Light Gray),정상,외주가공,국내,KRW,20000,397.0,7940000,1.0,7940000,정산완료,20000.0,제품창고,O1202401310058,PA202401310033,DO202401310037,,㈜삼광,김태완,20240131170218.0,수입검사등록확인
924.0,20240131.0,3088.0,(주)삼광윈테크,SM-A135F,GH61-17063A,SM-A135F PMO CASE REAR CNC ◈ () ◈ (BLACK),정상,외주가공,국내,KRW,707,1913.0,1352491,1.0,1352491,정산완료,707.0,경유창고,O1202401310001,PA202401300024,DO202401300041,,㈜삼광,품질공용,20240131161546.0,수입검사등록확인
925.0,20240131.0,3088.0,(주)삼광윈테크,SM-F721U,GH64-08900A-N,SM-F721U FRONT DECO SUB NC  ◈ (전면DAMPER 가공 2POINT) ◈ (BLACK),정상,외주가공,국내,KRW,2826,800.0,2260800,1.0,2260800,정산완료,2826.0,경유창고,O1202401310051,PA202401310024,DO202401310026,,㈜삼광,김태완,20240131165408.0,수입검사등록확인
926.0,20240131.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08861A,SM-F936U FRONT DECO MAIN NC ◈ (배면: GATE 가공 8POINT + 형상가공 1POINT/ 전면: DAMPER 가공 2P) ◈ (BLACK),정상,외주가공,국내,KRW,921,1220.0,1123620,1.0,1123620,정산완료,921.0,경유창고,O1202401310054,PA202401310034,DO202401310038,,㈜삼광,김태완,20240131165435.0,수입검사등록확인
927.0,20240131.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08861A,SM-F936U FRONT DECO MAIN NC ◈ (배면: GATE 가공 8POINT + 형상가공 1POINT/ 전면: DAMPER 가공 2P) ◈ (BLACK),정상,외주가공,국내,KRW,1630,1220.0,1988600,1.0,1988600,정산완료,1630.0,경유창고,O1202401310046,PA202401310009,DO202401310012,,㈜삼광,김태완,20240131165408.0,수입검사등록확인
928.0,20240131.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08861A,SM-F936U FRONT DECO MAIN NC ◈ (배면: GATE 가공 8POINT + 형상가공 1POINT/ 전면: DAMPER 가공 2P) ◈ (BLACK),정상,외주가공,국내,KRW,720,1220.0,878400,1.0,878400,정산완료,720.0,경유창고,O1202401310002,PA202401300024,DO202401300040,,㈜삼광,품질공용,20240131161546.0,수입검사등록확인
929.0,20240131.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08861A-N,SM-F936U FRONT DECO MAIN NC ◈ (전면: DAMPER 가공 2P) ◈ (BLACK),정상,외주가공,국내,KRW,472,975.0,460200,1.0,460200,정산완료,472.0,경유창고,O1202401310047,PA202401310022,DO202401310027,,㈜삼광,김태완,20240131165408.0,수입검사등록확인
930.0,20240131.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08862A,SM-F936U FRONT DECO SUB NC ◈ (배면: GATE 가공 8POINT) ◈ (BLACK),정상,외주가공,국내,KRW,886,1020.0,903720,1.0,903720,정산완료,886.0,경유창고,O1202401310048,PA202401310034,DO202401310039,,㈜삼광,김태완,20240131165408.0,수입검사등록확인
931.0,20240131.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08862A,SM-F936U FRONT DECO SUB NC ◈ (배면: GATE 가공 8POINT) ◈ (BLACK),정상,외주가공,국내,KRW,706,1020.0,720120,1.0,720120,정산완료,706.0,경유창고,O1202401310050,PA202401310023,DO202401310028,,㈜삼광,김태완,20240131165408.0,수입검사등록확인
932.0,20240131.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08862A,SM-F936U FRONT DECO SUB NC ◈ (배면: GATE 가공 8POINT) ◈ (BLACK),정상,외주가공,국내,KRW,2177,1020.0,2220540,1.0,2220540,정산완료,2177.0,경유창고,O1202401310049,PA202401310009,DO202401310013,,㈜삼광,김태완,20240131165408.0,수입검사등록확인
933.0,20240131.0,3088.0,(주)삼광윈테크,Tab S7,PCM-B474-00-N,"TAB S7 FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (Black)",정상,외주가공,국내,KRW,9364,303.0,2837292,1.0,2837292,정산완료,9364.0,경유창고,O1202401310003,PA202401310011,DO202401310017,01/30 태령,㈜삼광,품질공용,20240131161546.0,수입검사등록확인
934.0,20240131.0,3088.0,(주)삼광윈테크,TAB S9,PCM-B682-00-N,"TAB S9 FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (BLACK)",정상,외주가공,국내,KRW,4258,340.0,1447720,1.0,1447720,정산완료,4258.0,경유창고,O1202401310004,PA202401310013,DO202401310019,01/30 태령,㈜삼광,품질공용,20240131161546.0,수입검사등록확인
935.0,20240131.0,3088.0,(주)삼광윈테크,TAB S9 FE,PCM-B682-02-N,"TAB S9 FE FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (GRAY)",정상,외주가공,국내,KRW,29394,355.0,10434870,1.0,10434870,정산완료,29394.0,경유창고,O1202401310005,PA202401310014,DO202401310020,01/30 태령,㈜삼광,품질공용,20240131161546.0,수입검사등록확인
936.0,20240131.0,3088.0,(주)삼광윈테크,TAB S9 FE,PCM-B682-03-N,"TAB S9 FE FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (LIGHT GREEN)",정상,외주가공,국내,KRW,2197,355.0,779935,1.0,779935,정산완료,2197.0,경유창고,O1202401310006,PA202401310012,DO202401310018,01/30 태령,㈜삼광,품질공용,20240131161546.0,수입검사등록확인
937.0,20240131.0,3088.0,(주)삼광윈테크,TAB S9 FE,PCM-B682-04-N,"TAB S9 FE FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (LIGHT PINK)",정상,외주가공,국내,KRW,11420,355.0,4054100,1.0,4054100,정산완료,11420.0,경유창고,O1202401310007,PA202401310015,DO202401310021,01/30 태령,㈜삼광,품질공용,20240131161546.0,수입검사등록확인
